district_code,district_name,total_schools,emails_collected,remaining_to_scrape,coverage_pct,status,district_file
838,Dorset,158,5,153,3.2,pending,districts/838_dorset.csv
811,East Riding of Yorkshire,149,2,147,1.3,pending,districts/811_east-riding-of-yorkshire.csv
893,Shropshire,151,7,144,4.6,pending,districts/893_shropshire.csv
801,"Bristol, City of",155,12,143,7.7,pending,districts/801_bristol-city-of.csv
942,Cumberland,172,31,141,18.0,pending,districts/942_cumberland.csv
929,Northumberland,168,28,140,16.7,pending,districts/929_northumberland.csv
940,North Northamptonshire,144,5,139,3.5,pending,districts/940_north-northamptonshire.csv
341,Liverpool,170,33,137,19.4,pending,districts/341_liverpool.csv
895,Cheshire East,155,24,131,15.5,pending,districts/895_cheshire-east.csv
384,Wakefield,143,15,128,10.5,pending,districts/384_wakefield.csv
352,Manchester,188,62,126,33.0,pending,districts/352_manchester.csv
372,Rotherham,124,1,123,0.8,pending,districts/372_rotherham.csv
371,Doncaster,128,7,121,5.5,pending,districts/371_doncaster.csv
896,Cheshire West and Chester,161,43,118,26.7,pending,districts/896_cheshire-west-and-chester.csv
344,Wirral,125,9,116,7.2,pending,districts/344_wirral.csv
350,Bolton,128,14,114,10.9,pending,districts/350_bolton.csv
331,Coventry,118,5,113,4.2,pending,districts/331_coventry.csv
823,Central Bedfordshire,130,18,112,13.8,pending,districts/823_central-bedfordshire.csv
803,South Gloucestershire,116,5,111,4.3,pending,districts/803_south-gloucestershire.csv
359,Wigan,127,16,111,12.6,pending,districts/359_wigan.csv
333,Sandwell,124,16,108,12.9,pending,districts/333_sandwell.csv
943,Westmorland and Furness,147,39,108,26.5,pending,districts/943_westmorland-and-furness.csv
356,Stockport,115,8,107,7.0,pending,districts/356_stockport.csv
336,Wolverhampton,111,5,106,4.5,pending,districts/336_wolverhampton.csv
353,Oldham,108,4,104,3.7,pending,districts/353_oldham.csv
335,Walsall,122,21,101,17.2,pending,districts/335_walsall.csv
